Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1319,WHS3_41,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,,1986,,,,,,,,630,630.0,,,,2024-07-12T15:46:58.707+02:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00
4415,WHS3_41,COUNTRY,GMB,AFR,YEAR,Africa,,2004,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4750,WHS3_41,COUNTRY,MCO,EUR,YEAR,Europe,,1974,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
7129,WHS3_41,COUNTRY,NZL,WPR,YEAR,Western Pacific,,2014,,,,,,,,2,2.0,,,,2024-07-12T15:46:58.707+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7175,WHS3_41,COUNTRY,LVA,EUR,YEAR,Europe,,2012,,,,,,,,8,8.0,,,,2024-07-12T15:46:58.707+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
7930,WHS3_41,COUNTRY,SVN,EUR,YEAR,Europe,,2013,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
9333,WHS3_41,COUNTRY,SEN,AFR,YEAR,Africa,,1975,,,,,,,,399,399.0,,,,2024-07-12T15:46:58.707+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
10045,WHS3_41,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,1984,,,,,,,,128,128.0,,,,2024-07-12T15:46:58.707+02:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00
10406,WHS3_41,COUNTRY,SVN,EUR,YEAR,Europe,,1993,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
10695,WHS3_41,COUNTRY,TKL,WPR,YEAR,Western Pacific,,2018,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
10699,WHS3_41,COUNTRY,ETH,AFR,YEAR,Africa,,1995,,,,,,,,45,45.0,,,,2024-07-12T15:46:58.707+02:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00
11581,WHS3_41,COUNTRY,TKL,WPR,YEAR,Western Pacific,,1999,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
12302,WHS3_41,COUNTRY,CHE,EUR,YEAR,Europe,,2022,,,,,,,,86,86.0,,,,2024-07-12T15:46:58.707+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
12851,WHS3_41,COUNTRY,SYC,AFR,YEAR,Africa,,2003,,,,,,,,0,0.0,,,,2024-07-12T15:46:58.707+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
