Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5933282,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,5474,5474.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2181149,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,5225,5225.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4040604,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,NOR,EUR,YEAR,Europe,,,2022,,,,,,,4,4.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
279212,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,GRD,AMR,YEAR,Americas,,,2022,,,,,,,6,6.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7929297,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,MEX,AMR,YEAR,Americas,,,2022,,,,,,,188,188.0,,,,2024-04-02T13:53:05.823+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6930509,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,KGZ,EUR,YEAR,Europe,,,2022,,,,,,,730,730.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
2162408,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,IRQ,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,8241,8241.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4091733,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,25,25.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
7662571,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,MKD,EUR,YEAR,Europe,,,2022,,,,,,,48,48.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4473132,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,TUR,EUR,YEAR,Europe,,,2022,,,,,,,1329,1329.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
5462936,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,KWT,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,26,26.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
3856462,HEPATITIS_HBV_INFECTIONS_NEW_NUM,COUNTRY,HTI,AMR,YEAR,Americas,,,2022,,,,,,,1498,1498.0,,,,2025-01-08T11:26:29.403+01:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
