Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
318,WHS3_62,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,,,2001,,,,,,,4362,4362.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
578,WHS3_62,COUNTRY,GRC,EUR,YEAR,Europe,,,1981,,,,,,,1389,1389.0,,,,2025-07-14T16:36:19.017+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
2583,WHS3_62,COUNTRY,BFA,AFR,YEAR,Africa,,,2017,,,,,,,49,49.0,,,,2025-07-14T16:36:19.017+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
2831,WHS3_62,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,46,46.0,,,,2025-07-14T16:36:19.017+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6224,WHS3_62,COUNTRY,CIV,AFR,YEAR,Africa,,,2002,,,,,,,5882,5882.0,,,,2025-07-14T16:36:19.017+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8686,WHS3_62,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,1980,,,,,,,28 573,28573.0,,,,2025-07-14T16:36:19.017+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
10333,WHS3_62,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,,,2008,,,,,,,161 471,161471.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
12854,WHS3_62,COUNTRY,NPL,SEAR,YEAR,South-East Asia,,,2016,,,,,,,1269,1269.0,,,,2025-07-14T16:36:19.017+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
14311,WHS3_62,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,2013,,,,,,,1123,1123.0,,,,2025-07-14T16:36:19.017+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
14836,WHS3_62,COUNTRY,NCL,WPR,YEAR,Western Pacific,,,1976,,,,,,,664,664.0,,,,2025-07-14T16:36:19.017+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
