Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1637,WHS3_49,COUNTRY,AUT,YEAR,EUR,Europe,,,1999,,,,,,,0,0.0,,,,2019-09-11T08:27:38+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
4022,WHS3_49,COUNTRY,UKR,YEAR,EUR,Europe,,,2001,,,,,,,0,0.0,,,,2019-09-11T08:29:33+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4925,WHS3_49,COUNTRY,JOR,YEAR,EMR,Eastern Mediterranean,,,2011,,,,,,,0,0.0,,,,2019-09-11T08:28:29+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
6647,WHS3_49,COUNTRY,SEN,YEAR,AFR,Africa,,,1998,,,,,,,10,10.0,,,,2019-09-11T08:29:14+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
9850,WHS3_49,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,,,1985,,,,,,,7,7.0,,,,2019-09-11T08:29:33+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
10141,WHS3_49,REGION,AFR,YEAR,,,,,1992,,,,,,,1555,1555.0,,,,2019-09-11T08:29:41+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
10887,WHS3_49,COUNTRY,NIC,YEAR,AMR,Americas,,,1997,,,,,,,0,0.0,,,,2019-09-11T08:28:53+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
14757,WHS3_49,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,1991,,,,,,,1926,1926.0,,,,2019-09-11T08:27:55+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
18392,WHS3_49,COUNTRY,CIV,YEAR,AFR,Africa,,,2003,,,,,,,1,1.0,,,,2019-09-11T08:27:59+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
18554,WHS3_49,COUNTRY,BRA,YEAR,AMR,Americas,,,1983,,,,,,,45,45.0,,,,2019-09-11T08:27:47+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
