Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2149,WHS4_100,COUNTRY,BLR,YEAR,EUR,Europe,,2020,,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
2794,WHS4_100,COUNTRY,TON,YEAR,WPR,Western Pacific,,2016,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3391,WHS4_100,COUNTRY,GRC,YEAR,EUR,Europe,,2005,,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
8075,WHS4_100,COUNTRY,UKR,YEAR,EUR,Europe,,2000,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
12678,WHS4_100,REGION,AMR,YEAR,,,,2024,,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
14477,WHS4_100,COUNTRY,ERI,YEAR,AFR,Africa,,2014,,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
16617,WHS4_100,COUNTRY,PNG,YEAR,WPR,Western Pacific,,2022,,,,,,,,37,37.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
18253,WHS4_100,COUNTRY,HUN,YEAR,EUR,Europe,,2018,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
22434,WHS4_100,COUNTRY,MMR,YEAR,SEAR,South-East Asia,,2016,,,,,,,,90,90.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
24153,WHS4_100,COUNTRY,BTN,YEAR,SEAR,South-East Asia,,2000,,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24634,WHS4_100,COUNTRY,BRA,YEAR,AMR,Americas,,2000,,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
25887,WHS4_100,COUNTRY,GRC,YEAR,EUR,Europe,,2015,,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
