Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
9247990,WHS4_117,COUNTRY,COL,YEAR,AMR,Americas,,,2024,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
6155816,WHS4_117,COUNTRY,EGY,YEAR,EMR,Eastern Mediterranean,,,2010,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
7783140,WHS4_117,COUNTRY,RWA,YEAR,AFR,Africa,,,2021,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
7941982,WHS4_117,COUNTRY,CAN,YEAR,AMR,Americas,,,2001,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
3137974,WHS4_117,COUNTRY,MEX,YEAR,AMR,Americas,,,2012,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
6885792,WHS4_117,COUNTRY,PER,YEAR,AMR,Americas,,,2002,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
8518370,WHS4_117,COUNTRY,ZAF,YEAR,AFR,Africa,,,2003,,,,,,,71,71.0,,,,2025-07-14T16:23:12.92+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
2079704,WHS4_117,COUNTRY,URY,YEAR,AMR,Americas,,,2013,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
3798867,WHS4_117,COUNTRY,ZAF,YEAR,AFR,Africa,,,2008,,,,,,,76,76.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
8867727,WHS4_117,COUNTRY,TUR,YEAR,EUR,Europe,,,2015,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
5723680,WHS4_117,COUNTRY,CUB,YEAR,AMR,Americas,,,2011,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4294699,WHS4_117,COUNTRY,MWI,YEAR,AFR,Africa,,,2006,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
1093434,WHS4_117,COUNTRY,BGR,YEAR,EUR,Europe,,,2009,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
4383695,WHS4_117,COUNTRY,PHL,YEAR,WPR,Western Pacific,,,2021,,,,,,,67,67.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4453755,WHS4_117,COUNTRY,CHN,YEAR,WPR,Western Pacific,,,2022,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
6168595,WHS4_117,COUNTRY,UKR,YEAR,EUR,Europe,,,2024,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
4822601,WHS4_117,COUNTRY,DOM,YEAR,AMR,Americas,,,2005,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
8075240,WHS4_117,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,,2005,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
4866385,WHS4_117,COUNTRY,PLW,YEAR,WPR,Western Pacific,,,2008,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
69561,WHS4_117,COUNTRY,ALB,YEAR,EUR,Europe,,,2016,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
6682419,WHS4_117,COUNTRY,SWZ,YEAR,AFR,Africa,,,2002,,,,,,,88,88.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
285527,WHS4_117,COUNTRY,BDI,YEAR,AFR,Africa,,,2001,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
3639763,WHS4_117,COUNTRY,NPL,YEAR,SEAR,South-East Asia,,,2011,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
8518390,WHS4_117,COUNTRY,ARG,YEAR,AMR,Americas,,,2016,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3690758,WHS4_117,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,,,2009,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
584377,WHS4_117,COUNTRY,BHS,YEAR,AMR,Americas,,,2021,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
3856184,WHS4_117,COUNTRY,MAR,YEAR,EMR,Eastern Mediterranean,,,2024,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
2349455,WHS4_117,COUNTRY,HND,YEAR,AMR,Americas,,,2021,,,,,,,77,77.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
4148521,WHS4_117,COUNTRY,LVA,YEAR,EUR,Europe,,,2004,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
7407753,WHS4_117,COUNTRY,BRB,YEAR,AMR,Americas,,,2014,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5901365,WHS4_117,COUNTRY,SRB,YEAR,EUR,Europe,,,2016,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
1067925,WHS4_117,COUNTRY,NOR,YEAR,EUR,Europe,,,2018,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4575002,WHS4_117,COUNTRY,CMR,YEAR,AFR,Africa,,,2001,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
2959946,WHS4_117,COUNTRY,LUX,YEAR,EUR,Europe,,,2002,,,,,,,95,95.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
1367435,WHS4_117,COUNTRY,VUT,YEAR,WPR,Western Pacific,,,2002,,,,,,,66,66.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
4759367,WHS4_117,COUNTRY,VCT,YEAR,AMR,Americas,,,2011,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
1520040,WHS4_117,COUNTRY,HUN,YEAR,EUR,Europe,,,2014,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4784780,WHS4_117,COUNTRY,SAU,YEAR,EMR,Eastern Mediterranean,,,2018,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
8106601,WHS4_117,COUNTRY,ZAF,YEAR,AFR,Africa,,,2024,,,,,,,74,74.0,,,,2025-07-14T16:23:12.92+02:00,2024,2024-01-01T00:00:00+01:00,2024-12-31T00:00:00+01:00
9762010,WHS4_117,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,,,2020,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
6567834,WHS4_117,COUNTRY,BRN,YEAR,WPR,Western Pacific,,,2009,,,,,,,96,96.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
3328560,WHS4_117,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,,2017,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
4955375,WHS4_117,COUNTRY,EST,YEAR,EUR,Europe,,,2011,,,,,,,94,94.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
95167,WHS4_117,COUNTRY,VNM,YEAR,WPR,Western Pacific,,,2015,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
6606059,WHS4_117,COUNTRY,SEN,YEAR,AFR,Africa,,,2014,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
