Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
686249,WHS4_544,GLOBAL,GLOBAL,,YEAR,,,,2016,,,,,,,85,85.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3474,WHS4_544,COUNTRY,GBR,EUR,YEAR,Europe,,,2023,,,,,,,92,92.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
4109,WHS4_544,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2023,,,,,,,86,86.0,,,,2025-07-14T16:23:12.92+02:00,2023,2023-01-01T00:00:00+01:00,2023-12-31T00:00:00+01:00
10022,WHS4_544,COUNTRY,LBR,AFR,YEAR,Africa,,,2021,,,,,,,64,64.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
13327,WHS4_544,COUNTRY,GHA,AFR,YEAR,Africa,,,2013,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
20092,WHS4_544,COUNTRY,AND,EUR,YEAR,Europe,,,2021,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
21379,WHS4_544,COUNTRY,CAF,AFR,YEAR,Africa,,,2011,,,,,,,47,47.0,,,,2025-07-14T16:23:12.92+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
21984,WHS4_544,COUNTRY,NGA,AFR,YEAR,Africa,,,2002,,,,,,,40,40.0,,,,2025-07-14T16:23:12.92+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
23515,WHS4_544,COUNTRY,RWA,AFR,YEAR,Africa,,,2004,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
40684,WHS4_544,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,,,2009,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
45001,WHS4_544,COUNTRY,GNQ,AFR,YEAR,Africa,,,2001,,,,,,,43,43.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
45446,WHS4_544,COUNTRY,SUR,AMR,YEAR,Americas,,,2022,,,,,,,78,78.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
47045,WHS4_544,COUNTRY,BTN,SEAR,YEAR,South-East Asia,,,2021,,,,,,,98,98.0,,,,2025-07-14T16:23:12.92+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
